,maxx,i,j,q,orders_long,orders_short,alpha
226,2.376797328390746,34,48,46,213,147,427.8235191103343
253,2.3313212542812543,38,48,43,213,147,419.63782577062574
237,2.322565427120715,36,48,45,212,148,418.06177688172863
238,2.24805642782265,36,48,46,214,146,404.650157008077
239,2.068834103236658,36,48,47,213,147,372.39013858259847
256,1.971066534217148,38,48,46,214,146,354.79197615908663
220,1.130315550971284,32,48,46,213,147,203.45679917483113
221,1.123375596522607,32,48,47,212,148,202.20760737406928
178,0.9589143796640449,10,20,13,190,170,172.60458833952808
170,0.942098546987959,10,18,13,192,168,169.57773845783262
165,0.935693922452483,10,16,14,192,168,168.42490604144695
87,0.9287011937649229,8,18,16,190,170,167.16621487768612
206,0.9259140175566773,12,16,12,191,169,166.66452316020192
166,0.9125929141355222,10,16,15,192,168,164.266724544394
104,0.9087589545546542,8,22,13,191,169,163.57661181983775
96,0.8602207719555114,8,20,16,191,169,154.83973895199205
105,0.8450989562406773,8,22,14,192,168,152.11781212332193
164,0.8415531661369648,10,16,13,191,169,151.47956990465366
106,0.8388391250183872,8,22,15,192,168,150.9910425033097
205,0.8036564850256791,12,14,13,191,169,144.65816730462222
189,0.8020821221569776,10,24,12,195,165,144.37478198825596
86,0.7978525904351074,8,18,15,191,169,143.61346627831932
97,0.796421975309896,8,20,17,193,167,143.3559555557813
169,0.7905967103237885,10,18,12,192,168,142.30740785828195
93,0.7884814514949996,8,20,13,191,169,141.92666126909992
94,0.7763477226499208,8,20,14,190,170,139.74259007698575
114,0.7669501086772249,8,24,11,191,169,138.0510195619005
103,0.7372378477821104,8,22,12,192,168,132.70281260077988
95,0.7213091803618032,8,20,15,189,171,129.83565246512458
88,0.7120431739091625,8,18,17,190,170,128.16777130364926
187,0.7067535586012498,10,24,10,190,170,127.21564054822495
116,0.7031011634425899,8,24,13,193,167,126.55820941966618
183,0.6975690691257762,10,22,11,191,169,125.56243244263972
191,0.6958096496410898,10,26,10,194,166,125.24573693539617
125,0.644771864322167,8,26,12,195,165,116.05893557799007
172,0.6266865324598057,10,18,15,190,170,112.80357584276501
173,0.6029639662623723,10,18,16,190,170,108.533513927227
208,0.5959919518102345,12,16,14,189,171,107.2785513258422
180,0.5679186355575324,10,20,15,192,168,102.22535440035584
179,0.5445441385718423,10,20,14,190,170,98.0179449429316
123,0.5345602248348928,8,26,10,192,168,96.2208404702807
185,0.5330947216053384,10,22,13,193,167,95.95704988896092
192,0.5299280769902747,10,26,11,198,162,95.38705385824944
204,0.5106472148492791,12,14,12,192,168,91.91649867287023
115,0.5073887372371361,8,24,12,190,170,91.32997270268449
22,0.5000699300331186,6,20,16,190,170,90.01258740596136
212,0.49656387237103256,12,18,14,191,169,89.38149702678587
117,0.4959045311552177,8,24,14,193,167,89.26281560793919
175,0.48872882930190337,10,20,10,191,169,87.9711892743426
92,0.47785224053013275,8,20,12,190,170,86.0134032954239
80,0.46826903898542505,8,16,15,191,169,84.2884270173765
218,0.4680697854860415,14,16,14,190,170,84.25256138748748
207,0.46656251018025463,12,16,13,190,170,83.98125183244584
210,0.45914410319821475,12,18,12,190,170,82.64593857567866
25,0.45881493555785213,6,20,19,194,166,82.58668840041338
29,0.45866397098072037,6,22,15,190,170,82.55951477652967
85,0.457288352307601,8,18,14,192,168,82.31190341536818
168,0.44808280883565194,10,18,11,193,167,80.65490559041734
132,0.4452166892168606,8,28,11,194,166,80.1390040590349
31,0.4412204625153189,6,22,17,194,166,79.4196832527574
27,0.4315907337509093,6,22,13,192,168,77.68633207516368
39,0.41616142837410175,6,24,16,196,164,74.90905710733831
163,0.40103369042138703,10,16,12,193,167,72.18606427584966
11,0.3880475513129942,6,16,14,190,170,69.84855923633896
23,0.38637264121645337,6,20,17,190,170,69.54707541896161
124,0.3745843170069032,8,26,11,191,169,67.42517706124258
24,0.3643083278860405,6,20,18,192,168,65.5754990194873
174,0.36023772965860806,10,18,17,191,169,64.84279133854945
194,0.3588798617043871,10,28,10,198,162,64.59837510678969
107,0.3569985810302213,8,22,16,196,164,64.25974458543983
30,0.3568325339318496,6,22,16,191,169,64.22985610773293
16,0.3557037567200282,6,18,16,191,169,64.02667620960507
131,0.35538654843455514,8,28,10,192,168,63.96957871821993
215,0.3520380668707677,12,20,13,191,169,63.36685203673819
74,0.3508146022393126,8,14,12,188,172,63.14662840307627
122,0.3465575670478365,8,26,9,191,169,62.38036206861057
21,0.3435505467542772,6,20,15,191,169,61.8390984157699
17,0.33764956822319875,6,18,17,190,170,60.776922280175775
52,0.33258641745784867,6,28,12,192,168,59.86555514241276
84,0.3311445643747531,8,18,13,192,168,59.60602158745556
76,0.3302523019224436,8,16,11,187,173,59.44541434603985
130,0.3292116226711874,8,28,9,191,169,59.25809208081374
38,0.326032894945052,6,24,15,193,167,58.68592109010936
102,0.3253597291281485,8,22,11,191,169,58.56475124306672
157,0.3212610826712904,10,14,10,186,174,57.82699488083227
127,0.310856415109379,8,26,14,196,164,55.95415471968822
158,0.3007034209896825,10,14,11,191,169,54.12661577814285
19,0.2982503501789354,6,20,13,192,168,53.685063032208376
126,0.2844511073427445,8,26,13,197,163,51.201199321694006
90,0.28155448484348167,8,20,10,189,171,50.679807271826704
118,0.2740756950319158,8,24,15,197,163,49.333625105744844
34,0.2689676978027295,6,22,20,198,162,48.41418560449131
75,0.26614699138659104,8,14,13,189,171,47.90645844958639
26,0.25924345356273854,6,22,12,192,168,46.663821641292934
32,0.256713165364529,6,22,18,197,163,46.20836976561522
181,0.25469813250759393,10,20,16,190,170,45.84566385136691
