,maxx,i,j,q,orders_long,orders_short,alpha
2252,2.477105963755672,10,38,11,22,17,48.303566293235605
2270,2.1752569338787415,10,39,10,25,17,45.68039561145357
2234,2.3203308591315683,10,37,12,21,16,42.92612089393401
5306,3.418285061677933,18,39,6,10,14,41.019420740135196
5307,3.3810843542568874,18,39,7,10,14,40.573012251082645
2921,2.859443637736635,12,33,15,13,15,40.032210928312885
2939,2.544159941029176,12,34,14,14,16,38.16239911543764
5288,3.136418311659739,18,38,7,11,13,37.637019739916866
5289,3.09637959544502,18,38,8,11,13,37.15655514534024
2180,2.0619417107895104,10,34,15,16,13,29.898154806447902
2249,1.5038396418590192,10,38,8,22,17,29.324873016250873
2250,1.4558062029049867,10,38,9,22,17,28.388220956647242
5309,2.3352103810749014,18,39,9,10,14,28.022524572898817
2957,1.675504312319395,12,35,13,18,15,27.645821153270017
238,0.970249608343724,5,32,11,29,27,27.166989033624272
2975,1.7392201296304504,12,36,12,17,14,26.95791200927198
2938,1.7953331928154193,12,34,13,14,16,26.929997892231288
256,0.9171651109480587,5,33,10,30,28,26.597788217493704
237,0.932868298000952,5,32,10,29,27,26.120312344026654
2248,1.3316970378167803,10,38,7,22,17,25.968092237427214
255,0.8925059814351158,5,33,9,30,28,25.88267346161836
2266,1.225207585306976,10,39,6,25,17,25.729359291446496
3029,1.3515592059800574,12,39,9,22,16,25.67962491362109
5252,2.449494307655096,18,36,9,7,13,24.49494307655096
5253,2.4269123421725802,18,36,10,7,13,24.2691234217258
5948,2.5412353145087994,20,33,2,9,10,24.141735487833593
2267,1.1456006064821227,10,39,7,25,17,24.057612736124575
2265,1.1454504955692633,10,39,5,25,17,24.05446040695453
2247,1.2321621726252625,10,38,6,22,17,24.02716236619262
2162,1.7677603255402046,10,33,16,15,12,23.86476439479276
5966,2.790519545908397,20,34,1,7,10,23.719416140221373
2251,1.2158646741272416,10,38,10,22,17,23.70936114548121
5270,2.1414128577251,18,37,8,9,13,23.555541434976103
2268,1.1156489856804768,10,39,8,25,17,23.428628699290012
2993,1.3328742535723188,12,37,11,19,16,23.32529943751558
5271,2.1144695011036996,18,37,9,9,13,23.259164512140696
220,0.8519644917295671,5,31,12,27,27,23.003041276698312
2198,1.4353431692755774,10,35,14,19,13,22.965490708409238
184,0.9003951196838944,5,29,14,25,26,22.96007555193931
2867,1.9875909618216594,12,30,18,13,10,22.857296060949082
5291,1.9017109264417427,18,38,10,11,13,22.820531117300913
202,0.8684716457300499,5,30,13,26,25,22.14602696611627
4414,2.1948523778940734,16,32,7,10,10,21.948523778940732
219,0.8109894798520074,5,31,11,27,27,21.8967159560042
4396,2.4244652272569445,16,31,8,9,9,21.8201870453125
10300,7.250530805157925,32,29,3,5,1,21.751592415473773
4413,2.173398289372956,16,32,6,10,10,21.73398289372956
4395,2.4006273513865737,16,31,7,9,9,21.605646162479164
4867,2.2621630687879026,17,36,4,8,11,21.490549153485077
4868,2.2594133519726367,17,36,5,8,11,21.46442684374005
183,0.8415023753612725,5,29,13,25,26,21.45831057171245
5681,1.944910460779645,19,39,1,10,12,21.394015068576095
5609,2.3478754278339284,19,35,5,6,12,21.130878850505354
5683,1.9149838581212912,19,39,3,10,12,21.064822439334204
6636,3.238144346632422,22,29,6,7,6,21.047938253110743
4759,2.9829325513483376,17,30,10,10,4,20.880527859438363
4760,2.9807980880434024,17,30,11,10,4,20.865586616303816
201,0.8127511697225833,5,30,12,26,25,20.725154827925873
4532,1.801174548057794,16,38,11,10,13,20.71350730266463
187,0.8113444435775645,5,29,17,25,26,20.689283311227896
3028,1.0862321913550312,12,39,8,22,16,20.638411635745594
4415,2.0625871174507937,16,32,8,10,10,20.625871174507935
4412,2.0392186699978616,16,32,5,10,10,20.392186699978616
274,0.6549974821340379,5,34,9,31,31,20.304921946155172
4831,2.0304603911608763,17,34,6,10,10,20.304603911608762
4832,2.028325927855941,17,34,7,10,10,20.283259278559413
6384,3.3773934917975037,21,36,1,5,7,20.264360950785022
4394,2.251538887066654,16,31,6,9,9,20.263849983599886
4397,2.2449425222328188,16,31,9,9,9,20.20448270009537
2903,1.674647947132539,12,32,16,12,12,20.09577536559047
259,0.6837728730270104,5,33,13,30,28,19.829413317783303
5234,2.3315237054184714,18,35,10,7,10,19.817951496057006
6637,3.0390529284929064,22,29,7,7,6,19.75384403520389
4450,1.8763290566070574,16,34,5,10,11,19.701455094374104
4849,2.31153213908792,17,35,5,8,9,19.64802318224732
4850,2.308782422272654,17,35,6,8,9,19.62465058931756
4929,1.401259207839082,17,39,9,13,15,19.617628909747147
5610,2.1794493425855754,19,35,6,6,12,19.615044083270178
2230,1.0600668832623068,10,37,8,21,16,19.611237340352677
241,0.6987548459101567,5,32,14,29,27,19.565135685484385
5235,2.2969684500505667,18,35,11,7,10,19.524231825429816
273,0.6296990550580558,5,34,8,31,31,19.52067070679973
4449,1.8568253395928132,16,34,4,10,11,19.49666606572454
188,0.762271715470933,5,29,18,25,26,19.437928744508792
2216,1.0788423590018879,10,36,13,20,16,19.41916246203398
5682,1.7555265781619904,19,39,2,10,12,19.310792359781896
4460,1.8364417487335718,16,34,15,10,11,19.282638361702503
5967,2.2643576615528045,20,34,2,7,10,19.24704012319884
4777,2.385353996524458,17,31,9,11,5,19.082831972195663
4778,2.3814495487030247,17,31,10,11,5,19.051596389624198
4468,1.811178476454845,16,35,4,10,11,19.017374002775874
6385,3.1658057840560243,21,36,2,5,7,18.994834704336146
1020,0.9725429949088156,7,33,14,24,15,18.964588400721905
6389,3.1597468944247904,21,36,6,5,7,18.958481366548742
189,0.7412533334357979,5,29,19,25,26,18.901960002612846
2231,1.01904128432081,10,37,9,21,16,18.852263759934985
4467,1.791674759440601,16,35,3,10,11,18.81258497412631
5949,1.979884901962323,20,33,3,9,10,18.80890656864207
2916,1.3304614956901093,12,33,10,13,15,18.62646093966153
169,0.7733127619258434,5,28,18,24,24,18.55950628622024
5665,1.766211636200151,19,38,4,10,11,18.545222180101586
4469,1.7594147937005291,16,35,5,10,11,18.473855333855557
5645,1.9364409842793342,19,37,3,8,11,18.396189350653675
4451,1.7468227638782565,16,34,6,10,11,18.341639020721693
2269,0.8717268147974855,10,39,9,25,17,18.306263110747196
984,0.9847757401087646,7,31,16,23,14,18.218351192012143
4758,2.58810999316848,17,30,9,10,4,18.11676995217936
2232,0.976324821409633,10,37,10,21,16,18.06200919607821
260,0.6213647943111378,5,33,14,30,28,18.019579035022996
4756,2.573962387717176,17,30,7,10,4,18.01773671402023
