,maxx,i,j,z,orders_long,orders_short,alpha,min
78,8.713309480085016,50,0.9,0,0.3333333333333333,2.0,10.165527726765852,-2.758171327341848
88,8.420287427344306,52,0.9,0,0.3333333333333333,2.0,9.823668665235024,-2.8658144177519893
178,14.062831334970012,79,0.8,0,0.3333333333333333,1.0,9.375220889980007,0.0
73,8.786260546286066,49,0.9,0,0.3333333333333333,1.6666666666666667,8.786260546286066,-2.539318128738701
91,7.980793900260248,53,0.9,0,0.3333333333333333,1.6666666666666667,7.980793900260248,-4.184294999004166
47,9.002625908695643,42,0.9,0,0.3333333333333333,1.3333333333333333,7.5021882572463685,-1.965034934464693
172,11.15033066214103,79,0.2,0,0.3333333333333333,1.0,7.433553774760687,0.0
173,11.052452569732303,79,0.30000000000000004,0,0.3333333333333333,1.0,7.368301713154868,0.0
60,8.75190958113824,46,0.9,0,0.3333333333333333,1.3333333333333333,7.2932579842818654,-2.717183917136902
64,8.745653572274135,47,0.9,0,0.3333333333333333,1.3333333333333333,7.288044643561778,-2.661139050774491
50,8.528158460965535,43,0.9,0,0.3333333333333333,1.3333333333333333,7.106798717471279,-3.3884372776550125
170,8.33400995638875,78,0.9,0,0.3333333333333333,1.3333333333333333,6.945008296990624,-1.8891031638318605
71,6.884224725304705,49,0.6,0,0.3333333333333333,1.6666666666666667,6.884224725304705,-8.245425591682782
76,5.808511116744827,50,0.6,0,0.3333333333333333,2.0,6.776596302868966,-11.472566417362415
106,4.397092352637893,59,0.9,0,1.0,2.0,6.595638528956839,-12.175731201388826
14,7.432754347402948,36,0.9,0,0.3333333333333333,1.3333333333333333,6.193961956169123,-5.828413657576062
177,9.09363587421914,79,0.7000000000000001,0,0.3333333333333333,1.0,6.062423916146093,-2.118740226790796
45,8.821877980805617,41,0.9,0,0.3333333333333333,1.0,5.881251987203744,-1.661042757368055
100,4.32278895405908,57,0.9,0,0.6666666666666666,2.0,5.763718605412106,-12.175731201388826
179,8.642849656379154,79,0.9,0,0.3333333333333333,1.0,5.7618997709194355,-1.8891031638318605
86,4.588178573366348,52,0.6,0,0.3333333333333333,2.0,5.35287500226074,-14.362140979685861
26,6.40727115717682,38,0.8,0,0.3333333333333333,1.3333333333333333,5.339392630980683,-8.904863228254449
44,7.87294355862917,41,0.8,0,0.3333333333333333,1.0,5.248629039086113,-4.507846023897399
171,7.868855086350891,79,0.1,0,0.3333333333333333,1.0,5.245903390900594,0.0
103,3.4147693660751948,58,0.9,0,0.6666666666666666,2.3333333333333335,5.122154049112792,-14.582401086032837
62,5.952822918199662,47,0.6,0,0.3333333333333333,1.3333333333333333,4.960685765166385,-11.03963101299791
157,5.440162828131075,76,0.7000000000000001,0,0.3333333333333333,1.3333333333333333,4.533469023442562,-28.389643925344103
174,6.540020409589007,79,0.4,0,0.3333333333333333,1.0,4.3600136063926715,0.0
104,2.8302661807647937,59,0.6,0,1.0,2.0,4.245399271147191,-16.876209717008123
175,6.256145219779751,79,0.5,0,0.3333333333333333,1.0,4.170763479853167,0.0
109,3.414881482262217,61,0.6,0,1.0,1.3333333333333333,3.984028395972586,-15.540873723289147
162,4.599616693188644,77,0.6,0,0.3333333333333333,1.3333333333333333,3.8330139109905366,-28.389643925344103
98,2.7559627821859807,57,0.6,0,0.6666666666666666,2.0,3.6746170429146408,-16.876209717008123
89,3.4932577752982383,53,0.6,0,0.3333333333333333,1.6666666666666667,3.4932577752982383,-17.64690337389019
46,4.174719827357375,42,0.8,0,0.3333333333333333,1.3333333333333333,3.478933189464479,-16.448753178479492
129,9.81650637113412,73,0.1,0,0.0,0.6666666666666666,3.2721687903780396,0.0
143,9.796377854570023,74,0.6,0,0.0,0.6666666666666666,3.265459284856674,0.0
54,3.641566881875766,45,0.4,0,0.3333333333333333,1.3333333333333333,3.034639068229805,-16.448753178479492
95,2.5240025275435323,55,0.6,0,0.6666666666666666,1.6666666666666667,2.9446696154674545,-17.64690337389019
120,8.208358521182928,71,0.8,0,0.3333333333333333,0.3333333333333333,2.736119507060976,0.0
107,1.9872376768565527,60,0.6,0,1.0,1.6666666666666667,2.6496502358087373,-19.82380513950614
97,2.2672194239673225,55,0.9,0,0.6666666666666666,1.6666666666666667,2.6450893279618763,-18.41725268461882
115,7.412112112789701,71,0.1,0,0.3333333333333333,0.3333333333333333,2.4707040375965668,0.0
84,1.7476390247094027,52,0.4,0,0.3333333333333333,2.0,2.0389121954943032,-22.883759625656698
154,2.410694256794906,76,0.2,0,0.3333333333333333,1.3333333333333333,2.0089118806624215,-28.389643925344103
101,1.26226446597646,58,0.6,0,0.6666666666666666,2.3333333333333335,1.8933966989646898,-21.039915786329043
61,2.1382012186101647,47,0.5,0,0.3333333333333333,1.3333333333333333,1.7818343488418038,-22.483496111766403
8,2.040317723660223,35,0.9,0,0.3333333333333333,1.3333333333333333,1.7002647697168523,-5.240381449692319
155,2.037394811985711,76,0.30000000000000004,0,0.3333333333333333,1.3333333333333333,1.6978290099880924,-28.389643925344103
121,9.724071468894909,72,0.1,0,0.0,0.3333333333333333,1.6206785781491515,0.0
43,2.284496198925196,41,0.6,0,0.3333333333333333,1.0,1.5229974659501306,-4.507846023897399
137,4.450847300434494,73,0.9,0,0.0,0.6666666666666666,1.4836157668114978,0.0
146,4.399605645579061,74,0.9,0,0.0,0.6666666666666666,1.4665352151930202,0.0
74,1.247306040318706,50,0.4,0,0.3333333333333333,2.0,1.4551903803718238,-25.15618164664078
160,1.6871160203596614,77,0.2,0,0.3333333333333333,1.3333333333333333,1.4059300169663844,-28.389643925344103
40,1.9741342185844546,41,0.30000000000000004,0,0.3333333333333333,1.0,1.316089479056303,-4.507846023897399
42,1.8923583440963336,41,0.5,0,0.3333333333333333,1.0,1.2615722293975558,-4.507846023897399
69,1.182718664136388,49,0.4,0,0.3333333333333333,1.6666666666666667,1.182718664136388,-25.349943775187732
166,1.3282296815276549,78,0.30000000000000004,0,0.3333333333333333,1.3333333333333333,1.1068580679397122,-28.389643925344103
7,1.0256357970621977,35,0.8,0,0.3333333333333333,1.3333333333333333,0.8546964975518313,-8.284427229486395
156,0.8457081227871193,76,0.6,0,0.3333333333333333,1.3333333333333333,0.704756768989266,-28.389643925344103
13,0.8188237974728464,36,0.8,0,0.3333333333333333,1.3333333333333333,0.6823531645607053,-8.904863228254449
132,1.9288568748666768,73,0.4,0,0.0,0.6666666666666666,0.6429522916222256,0.0
141,1.885551254505211,74,0.4,0,0.0,0.6666666666666666,0.6285170848350703,0.0
2,0.715273816721456,35,0.2,0,0.3333333333333333,1.3333333333333333,0.5960615139345465,-8.284427229486395
9,0.5084618171321047,36,0.2,0,0.3333333333333333,1.3333333333333333,0.42371818094342056,-8.904863228254449
133,1.1086429804098696,73,0.5,0,0.0,0.6666666666666666,0.3695476601366232,0.0
31,0.4266859426439839,39,0.6,0,0.3333333333333333,1.3333333333333333,0.35557161886998656,-8.904863228254449
142,1.0629272399515524,74,0.5,0,0.0,0.6666666666666666,0.35430907998385075,0.0
159,0.35102109627423417,76,0.9,0,0.3333333333333333,1.3333333333333333,0.2925175802285285,-28.389643925344103
124,1.7299968092884102,72,0.4,0,0.0,0.3333333333333333,0.28833280154806834,0.0
0,0.18260616721271003,8,0.6,0,1.0,1.6666666666666667,0.24347488961694674,-2.7479330980081844
153,0.3366679747013717,75,0.9,0,0.0,1.3333333333333333,0.22444531646758115,-28.389643925344103
1,0.10422872431463566,10,0.7000000000000001,0,1.0,2.6666666666666665,0.19108599457683204,-2.7272893864398484
125,0.8987160694131008,72,0.5,0,0.0,0.3333333333333333,0.14978601156885013,0.0
