,close_time,o,h,l,c,v
0,2017-08-17 23:59:59.999,301.13,312.18,298.0,302.0,7030.71034
1,2017-08-18 23:59:59.999,302.0,311.79,283.94,293.96,9537.84646
2,2017-08-19 23:59:59.999,293.31,299.9,278.0,290.91,2146.19773
3,2017-08-20 23:59:59.999,289.41,300.53,282.85,299.1,2510.13871
4,2017-08-21 23:59:59.999,299.1,346.52,294.6,323.29,5219.44542
5,2017-08-22 23:59:59.999,321.04,330.41,144.21,309.8,7956.35088
6,2017-08-23 23:59:59.999,312.25,324.99,309.41,315.74,8665.72569
7,2017-08-24 23:59:59.999,315.74,328.04,314.01,323.42,6753.27192
8,2017-08-25 23:59:59.999,323.42,338.28,323.42,327.24,7125.96962
9,2017-08-26 23:59:59.999,327.24,335.44,323.41,330.79,4877.68521
10,2017-08-27 23:59:59.999,332.18,348.13,330.73,348.13,4635.43715
11,2017-08-28 23:59:59.999,348.11,351.0,331.95,346.0,4279.1817
12,2017-08-29 23:59:59.999,347.0,377.6,346.0,374.7,3032.13425
13,2017-08-30 23:59:59.999,374.7,393.71,362.05,385.93,4446.59608
14,2017-08-31 23:59:59.999,384.64,389.36,377.78,384.79,4435.86855
15,2017-09-01 23:59:59.999,386.44,394.39,383.18,388.46,4198.68434
16,2017-09-02 23:59:59.999,388.58,394.32,320.08,343.14,8240.32724
17,2017-09-03 23:59:59.999,343.56,367.28,320.08,341.77,5253.62211
18,2017-09-04 23:59:59.999,339.29,344.55,267.94,283.77,6737.81061
19,2017-09-05 23:59:59.999,286.81,321.52,235.55,312.09,8344.41924
20,2017-09-06 23:59:59.999,313.29,336.34,312.09,335.0,5486.30988
21,2017-09-07 23:59:59.999,335.01,342.5,320.17,334.49,3103.89745
22,2017-09-08 23:59:59.999,334.49,335.1,272.0,302.99,4915.75693
23,2017-09-09 23:59:59.999,300.01,307.0,281.66,296.74,2740.58822
24,2017-09-10 23:59:59.999,296.72,302.78,261.03,293.5,4156.45099
25,2017-09-11 23:59:59.999,293.51,304.98,285.21,297.3,4829.64647
26,2017-09-12 23:59:59.999,297.78,316.46,286.01,293.96,5176.31402
27,2017-09-13 23:59:59.999,293.93,294.5,257.05,276.91,6451.22836
28,2017-09-14 23:59:59.999,275.76,283.77,215.0,215.21,12601.95676
