,maxx,i,j,z1,z2,orders_long,orders_short,alpha
42,34.93167974548944,0.05,0.15000000000000002,0.005,0.045,71,6,1344.8696702013435
4822,31.34781665329592,0.35000000000000003,0.55,0.030000000000000002,0.005,0,83,1300.9343911117805
640,35.675650874770355,0.1,0.15000000000000002,0.005,0.045,65,6,1266.4856060543475
4741,31.52553957931544,0.35000000000000003,0.5,0.030000000000000002,0.005,0,80,1261.0215831726175
4660,31.442426504362004,0.35000000000000003,0.45,0.030000000000000002,0.005,0,79,1241.975846922299
4579,31.430999526517123,0.35000000000000003,0.4,0.030000000000000002,0.005,0,78,1225.8089815341677
4498,31.97945826527906,0.35000000000000003,0.35000000000000003,0.030000000000000002,0.005,0,75,1199.2296849479649
7203,28.057442737827092,0.5,0.55,0.005,0.005,1,83,1178.412594988738
4417,33.223724695727405,0.35000000000000003,0.3,0.030000000000000002,0.005,0,70,1162.8303643504591
7122,28.423890504050565,0.5,0.5,0.005,0.005,1,80,1151.1675654140479
7041,28.380661920188142,0.5,0.45,0.005,0.005,1,79,1135.2264768075256
45,32.59171440691518,0.05,0.15000000000000002,0.01,0.045,63,6,1124.4141470385737
6960,28.423452250690325,0.5,0.4,0.005,0.005,1,78,1122.7263639022678
4823,31.260116580557167,0.35000000000000003,0.55,0.030000000000000002,0.01,0,70,1094.1040803195008
4742,31.59068058529243,0.35000000000000003,0.5,0.030000000000000002,0.01,0,69,1089.8784801925888
4661,31.495080704367595,0.35000000000000003,0.45,0.030000000000000002,0.01,0,68,1070.8327439484983
643,32.688317208170865,0.1,0.15000000000000002,0.01,0.045,59,6,1062.370309265553
4580,31.482563539131664,0.35000000000000003,0.4,0.030000000000000002,0.01,0,67,1054.6658785609109
6879,27.527736464329976,0.5,0.35000000000000003,0.005,0.005,1,75,1046.0539856445391
6887,116.02702457262725,0.5,0.35000000000000003,0.005,0.045,1,17,1044.2432211536452
4499,31.938126311539833,0.35000000000000003,0.35000000000000003,0.030000000000000002,0.01,0,65,1037.9891051250445
4418,33.024779716194,0.35000000000000003,0.3,0.030000000000000002,0.01,0,62,1023.768171202014
6806,117.56326581143814,0.5,0.3,0.005,0.045,1,16,999.2877593972242
1265,32.71435799920604,0.15000000000000002,0.15000000000000002,0.005,0.045,53,6,965.073560976578
7123,27.15963963384187,0.5,0.5,0.005,0.01,1,69,950.5873871844655
7204,26.704874368033504,0.5,0.55,0.005,0.01,1,70,948.0230400651894
6798,26.648222004440118,0.5,0.3,0.005,0.005,1,70,946.0118811576242
4336,34.059628936835864,0.35000000000000003,0.25,0.030000000000000002,0.005,0,55,936.6397957629863
7042,27.11329838799078,0.5,0.45,0.005,0.01,1,68,935.408794385682
6961,27.167005649340698,0.5,0.4,0.005,0.01,1,67,923.6781920775837
6880,27.847996131871618,0.5,0.35000000000000003,0.005,0.01,1,65,918.9838723517634
1836,49.64872041932987,0.2,0.15000000000000002,0.005,0.045,31,6,918.5013277576026
6725,120.30265747217751,0.5,0.25,0.005,0.045,1,14,902.2699310413313
3327,81.10268797736293,0.3,0.15000000000000002,0.005,0.045,16,6,892.1295677509922
5289,97.35753608674128,0.4,0.35000000000000003,0.015,0.045,1,17,876.2178247806714
6964,46.95416104617287,0.5,0.4,0.005,0.025,1,36,868.6519793541981
4824,30.888391885560036,0.35000000000000003,0.55,0.030000000000000002,0.015,0,56,864.8749727956811
6883,47.81656184229529,0.5,0.35000000000000003,0.005,0.025,1,35,860.6981131613153
4743,31.296340822915386,0.35000000000000003,0.5,0.030000000000000002,0.015,0,55,860.6493726301732
51,28.53017961947235,0.05,0.15000000000000002,0.015,0.045,54,6,855.9053885841705
6802,48.65281885124585,0.5,0.3,0.005,0.025,1,34,851.4243298968023
4662,31.17050505189491,0.35000000000000003,0.45,0.030000000000000002,0.015,0,54,841.6036364011626
6799,26.636876641320644,0.5,0.3,0.005,0.01,1,62,839.0616142016003
5208,98.65401135245706,0.4,0.3,0.015,0.045,1,16,838.559096495885
1267,30.45573679627136,0.15000000000000002,0.15000000000000002,0.01,0.045,49,6,837.5327618974624
4337,33.4915930791661,0.35000000000000003,0.25,0.030000000000000002,0.01,0,50,837.2898269791525
4581,31.148557396916164,0.35000000000000003,0.4,0.030000000000000002,0.015,0,53,825.4367710182784
4500,31.54771247485305,0.35000000000000003,0.35000000000000003,0.030000000000000002,0.015,0,52,820.2405243461793
4419,32.61317710775567,0.35000000000000003,0.3,0.030000000000000002,0.015,0,50,815.3294276938917
6717,28.4075847441658,0.5,0.25,0.005,0.005,1,55,795.4123728366424
649,28.37624455051733,0.1,0.15000000000000002,0.015,0.045,50,6,794.5348474144853
1841,47.99777025661488,0.2,0.15000000000000002,0.01,0.045,27,6,791.9632092341454
6965,47.5671330669763,0.5,0.4,0.005,0.030000000000000002,1,32,784.8576956051089
6884,48.56058467195578,0.5,0.35000000000000003,0.005,0.030000000000000002,1,31,776.9693547512925
4825,30.884293847915224,0.35000000000000003,0.55,0.030000000000000002,0.02,0,50,772.1073461978806
57,30.206523631986688,0.05,0.15000000000000002,0.02,0.045,45,6,770.2663526156605
4744,31.342112081938783,0.35000000000000003,0.5,0.030000000000000002,0.02,0,49,767.8817460075002
6803,49.533143371889686,0.5,0.3,0.005,0.030000000000000002,1,30,767.7637222642901
5127,101.94522742562518,0.4,0.25,0.015,0.045,1,14,764.5892056921888
4663,31.20150040774413,0.35000000000000003,0.45,0.030000000000000002,0.02,0,48,748.8360097858591
6721,49.60784836154185,0.5,0.25,0.005,0.025,1,29,744.1177254231277
5038,36.109972271621416,0.4,0.2,0.015,0.005,1,40,740.254431568239
2555,54.77599630133743,0.25,0.15000000000000002,0.005,0.045,21,6,739.4759500680553
4582,31.177410400172068,0.35000000000000003,0.4,0.030000000000000002,0.02,0,47,732.6691444040435
4501,31.629256421985424,0.35000000000000003,0.35000000000000003,0.030000000000000002,0.02,0,46,727.4728977056648
6644,120.6721404200475,0.5,0.2,0.005,0.045,1,11,724.0328425202849
4420,32.84371822632111,0.35000000000000003,0.3,0.030000000000000002,0.02,0,44,722.5618009790644
3336,79.55901318156012,0.3,0.15000000000000002,0.01,0.045,12,6,716.031118634041
6718,27.835175085305323,0.5,0.25,0.005,0.01,1,50,709.7969646752857
3243,83.40161670935136,0.3,0.1,0.005,0.030000000000000002,16,1,708.9137420294866
4255,35.22748532501917,0.35000000000000003,0.2,0.030000000000000002,0.005,0,40,704.5497065003833
3,19.26470328062246,0.05,0.1,0.005,0.030000000000000002,71,1,693.5293181024085
742,17.474260220138333,0.1,0.25,0.005,0.045,65,14,690.2332786954642
7124,24.497637964332313,0.5,0.5,0.005,0.015,1,55,685.9338630013048
6722,50.61587251322728,0.5,0.25,0.005,0.030000000000000002,1,26,683.3142789285683
7205,23.937622427344504,0.5,0.55,0.005,0.015,1,56,682.2222391793183
655,28.358034661616422,0.1,0.15000000000000002,0.02,0.045,42,6,680.5928318787942
139,15.926596676526259,0.05,0.25,0.005,0.045,71,14,676.880358752366
258,15.285622852598072,0.05,0.35000000000000003,0.005,0.045,71,17,672.5674055143152
6402,16.010829641858283,0.45,0.55,0.01,0.005,1,83,672.4548449580479
7043,24.43052864715753,0.5,0.45,0.005,0.015,1,54,671.839537796832
4338,32.76586026543604,0.35000000000000003,0.25,0.030000000000000002,0.015,0,41,671.7001354414388
286,23.94311546671567,0.05,0.35000000000000003,0.025,0.045,39,17,670.4072330680387
189,15.401419665965152,0.05,0.3,0.005,0.045,71,16,669.9617554694842
794,16.514559119462664,0.1,0.3,0.005,0.045,65,16,668.8396443382379
867,16.283842789973477,0.1,0.35000000000000003,0.005,0.045,65,17,667.6375543889126
6800,26.119575096847942,0.5,0.3,0.005,0.015,1,50,666.0491649696226
217,24.175567479244993,0.05,0.3,0.025,0.045,39,16,664.8281056792373
161,25.084910355634687,0.05,0.25,0.025,0.045,39,14,664.7501244243192
6881,25.047977666906142,0.5,0.35000000000000003,0.005,0.015,1,52,663.7714081730128
6159,16.779158463634044,0.45,0.4,0.01,0.005,1,78,662.7767593135447
6962,24.48911204345898,0.5,0.4,0.005,0.015,1,53,661.2060251733925
6240,16.413808567167735,0.45,0.45,0.01,0.005,1,79,656.5523426867094
6321,16.17499758618734,0.45,0.5,0.01,0.005,1,80,655.0874022405874
5039,35.332814187663,0.4,0.2,0.015,0.01,1,36,653.6570624717655
602,19.79230597063969,0.1,0.1,0.005,0.030000000000000002,65,1,653.1460970311098
