,maxx,i,j,q,orders_long,orders_short,alpha
1971,33.271821410821325,10,22,21,34,26,998.1546423246398
694,32.6975218514231,4,28,24,32,28,980.9256555426929
696,30.961447524015774,4,28,26,33,27,928.8434257204732
261,30.185143295210505,2,34,33,35,25,905.5542988563152
229,28.90861402377194,2,32,31,34,26,867.2584207131582
227,27.573447226884795,2,32,29,33,27,827.2034168065438
226,27.32139584298649,2,32,28,32,28,819.6418752895947
673,26.368746689488663,4,26,25,31,29,791.0624006846599
144,26.085822162023515,2,26,23,28,32,782.5746648607054
1965,25.933936088929833,10,22,15,31,29,778.018082667895
382,25.86863304202519,2,42,14,27,33,776.0589912607558
169,25.361309094137642,2,28,25,30,30,760.8392728241292
146,25.138916399761875,2,26,25,29,31,754.1674919928563
1119,25.10728208546416,6,22,21,30,30,753.2184625639248
123,24.848094809962497,2,24,23,27,33,745.4428442988749
292,24.834227971464976,2,36,32,36,24,745.0268391439492
100,24.63289014424373,2,22,19,26,34,738.9867043273119
2653,24.623835033843854,14,16,15,30,30,738.7150510153156
649,24.12470845877386,4,24,21,29,31,723.7412537632158
667,23.910713531736715,4,26,19,28,32,717.3214059521015
1550,23.75805844212512,8,20,18,29,31,712.7417532637536
613,23.49457689236441,4,20,19,26,34,704.8373067709323
596,23.25284860165697,4,18,16,25,35,697.5854580497091
1103,22.801924067656977,6,20,19,28,32,684.0577220297093
628,22.56555838397646,4,22,18,27,33,676.9667515192938
1110,22.28469595321028,6,22,12,24,36,668.5408785963084
1961,21.782280714501233,10,22,11,27,33,653.468421435037
1089,21.584996924010596,6,18,17,26,34,647.5499077203178
197,21.523931627163744,2,30,27,31,29,645.7179488149123
1075,20.531282834449886,6,16,13,23,37,615.9384850334966
1941,20.167790941973063,10,16,15,26,34,605.0337282591919
1088,19.90476770030972,6,18,16,25,35,597.1430310092916
1527,19.584823080576037,8,16,13,24,36,587.5446924172811
1849,19.19505633925525,8,44,41,38,22,575.8516901776575
920,18.752732308484727,4,42,40,37,23,562.5819692545418
2269,18.40474866822977,10,46,43,39,21,552.1424600468931
3467,17.984583531613467,18,48,45,42,18,539.537505948404
4149,17.507576435054524,26,48,47,46,14,525.2272930516357
2615,15.58000832646359,12,46,45,40,20,467.4002497939077
3676,15.294804114754612,20,48,44,43,17,458.84412344263836
2957,15.21567148677374,14,48,47,41,19,456.4701446032122
4017,14.689705402486005,24,48,47,45,15,440.6911620745802
3859,14.599018045650435,22,48,45,44,16,437.97054136951306
4256,14.323399805584703,28,48,44,47,13,429.7019941675411
885,11.74603425478002,4,42,5,26,34,352.38102764340056
560,11.561303873779288,4,12,10,23,37,346.83911621337865
373,11.476248624487353,2,42,5,25,35,344.2874587346206
1005,11.267220102814912,4,48,5,27,33,338.01660308444735
33,11.26654268547773,2,14,8,27,33,337.9962805643319
34,11.05168607146007,2,14,9,24,36,331.5505821438021
26,11.038951860642753,2,12,10,25,35,331.1685558192826
602,11.010963649453965,4,20,8,24,36,330.32890948361893
334,10.99065217687647,2,40,4,28,32,329.7195653062941
56,10.972669151637836,2,18,7,26,34,329.1800745491351
1056,10.948747319165953,6,12,8,23,37,328.4624195749786
117,10.906698908372245,2,24,17,27,33,327.20096725116736
562,10.885865206222393,4,14,4,29,31,326.57595618667176
1053,10.766036411812873,6,10,9,23,37,322.9810923543862
572,10.724636794076014,4,16,4,28,32,321.7391038222804
551,10.69132075924066,4,10,7,26,34,320.73962277721984
570,10.671897454804798,4,14,12,25,35,320.15692364414394
569,10.653729055088506,4,14,11,25,35,319.61187165265517
151,10.478148669126211,2,28,7,24,36,314.34446007378637
414,10.470520895300762,2,44,6,24,36,314.1156268590229
576,10.446670135610303,4,16,8,22,38,313.4001040683091
149,10.40428993594622,2,28,5,27,33,312.1286980783866
1069,10.393708150354614,6,16,7,23,37,311.8112445106384
814,10.21265948615573,4,38,4,25,35,306.3797845846719
