,maxx,i,j,q,orders_long,orders_short,alpha
1366,21.813691468961196,8,31,18,10,10,218.13691468961196
1365,21.258904274103188,8,31,17,10,10,212.58904274103188
4164,29.207963552724653,15,39,4,5,9,204.45574486907256
4146,29.17556985564671,15,38,5,5,9,204.22898898952698
4489,28.43664564978372,16,36,6,7,7,199.05651954848605
4128,30.538836780755346,15,37,6,6,7,198.50243907490974
4110,30.126219524406533,15,36,7,6,7,195.82042690864247
1384,18.825271340219107,8,32,17,9,11,188.25271340219106
750,12.672906881833267,6,39,10,14,15,183.75714978658237
1383,18.14427630350805,8,32,16,9,11,181.4427630350805
4417,30.003619206250008,16,32,10,5,7,180.02171523750005
1402,17.86868431962018,8,33,16,9,11,178.68684319620178
3751,20.66289859611583,14,37,9,9,8,175.63463806698456
1401,17.187689282909123,8,33,15,9,11,171.87689282909122
1420,17.157005192131734,8,34,15,9,11,171.57005192131734
4165,24.458459579479875,15,39,5,5,9,171.20921705635914
4147,24.426065882401925,15,38,6,5,9,170.98246117681347
4092,27.858184121008378,15,35,8,7,5,167.14910472605027
4129,25.662395212855266,15,37,7,6,7,166.80556888355923
1473,15.145112513833258,8,37,11,9,13,166.59623765216583
3787,19.42760867659972,14,39,7,7,10,165.13467375109764
1419,16.476010155420674,8,34,14,9,11,164.76010155420676
1456,17.322513325239193,8,36,13,8,11,164.56387658977232
4111,25.278854358862326,15,36,8,6,7,164.31255333260512
4490,23.42425888092633,16,36,7,7,7,163.9698121664843
4491,23.419731797419917,16,36,8,7,7,163.9381225819394
1438,17.201366375144254,8,35,14,8,11,163.4129805638704
1329,17.780370138920738,8,29,19,9,9,160.02333125028665
4493,22.767236563362268,16,36,10,7,7,159.37065594353587
1348,16.721440370408153,8,30,19,8,11,158.85368351887746
4492,22.566810065284827,16,36,9,7,7,157.9676704569938
4055,26.201648232368633,15,33,9,6,6,157.2098893942118
4507,26.167348992247348,16,37,5,5,7,157.00409395348407
1455,16.48503475294697,8,36,12,8,11,156.6078301529962
4054,26.06593197780571,15,33,8,6,6,156.39559186683425
3769,20.756436437731935,14,38,8,7,8,155.6732732829895
1437,16.378884313274135,8,35,13,8,11,155.59940097610428
732,10.9911565640922,6,38,11,14,14,153.87619189729082
714,10.970990431161344,6,37,12,14,14,153.59386603625882
4127,23.603616731393135,15,37,5,6,7,153.42350875405538
4418,25.52206511797136,16,32,11,5,7,153.13239070782816
4419,25.517559325676153,16,32,12,5,7,153.1053559540569
4126,23.52777901357401,15,37,4,6,7,152.93056358823105
3733,20.358821995394873,14,36,10,7,8,152.69116496546155
5899,33.73197729199727,20,30,10,6,3,151.7938978139877
1347,15.873242809902772,8,30,18,8,11,150.79580669407633
4109,23.190999475044322,15,36,6,6,7,150.7414965877881
4108,23.115161757225195,15,36,5,6,7,150.24855142196378
3965,32.69430794241856,15,28,14,4,5,147.12438574088353
3964,32.6130682902669,15,28,13,4,5,146.75880730620105
4399,32.58592910210041,16,31,11,2,7,146.63668095945184
7471,26.542575232542248,24,33,5,4,7,145.98416377898235
4163,20.781890851991797,15,39,3,5,9,145.47323596394259
4471,26.420904159024467,16,35,7,5,6,145.31497287463458
4145,20.749497154913847,15,38,4,5,9,145.24648008439692
4162,20.723194362341477,15,39,2,5,9,145.06236053639034
7074,26.35201090682649,23,32,7,6,5,144.9360599875457
4144,20.690512261408884,15,38,3,5,9,144.8335858298622
4327,31.7496017916504,16,27,15,4,5,142.87320806242678
4093,23.72999791443526,15,35,9,7,5,142.37998748661155
6378,25.812624155205782,21,35,14,4,7,141.96943285363182
3715,18.856683364565637,14,35,11,7,8,141.42512523424227
7507,25.643643319306197,24,35,3,3,8,141.0400382561841
3947,28.042360730283733,15,27,15,4,6,140.21180365141868
3946,27.97466101790632,15,27,14,4,6,139.8733050895316
3911,31.036401910979126,15,25,17,3,6,139.66380859940608
3910,30.893883537815892,15,25,16,3,6,139.0224759201715
4381,34.6145677631792,16,30,12,2,6,138.4582710527168
3679,18.425127816765414,14,33,13,8,7,138.1884586257406
4453,27.53234071554903,16,34,8,5,5,137.66170357774516
1491,12.499646698475757,8,38,10,9,13,137.49611368323332
7869,27.41015967007098,25,34,4,5,5,137.05079835035488
4309,30.403004557429153,16,26,16,4,5,136.8135205084312
5520,30.31506657291152,19,30,11,4,5,136.41779957810184
4167,19.480941147030606,15,39,7,5,9,136.36658802921426
7072,24.768793863677114,23,32,5,6,5,136.22836625022413
4149,19.448547449952656,15,38,8,5,9,136.1398321496686
8249,24.720107531707654,26,34,4,4,7,135.9605914243921
4057,22.58595874129436,15,33,11,6,6,135.51575244776615
8250,24.620738221251433,26,34,5,4,7,135.4140602168829
7887,27.031089227739425,25,35,3,4,6,135.15544613869713
7489,27.03088236433682,24,34,4,4,6,135.1544118216841
5177,22.432369591415167,18,32,10,6,6,134.594217548491
911,16.75546188446515,7,27,19,6,10,134.0436950757212
3893,33.32492232972984,15,24,18,3,5,133.29968931891935
1474,12.103479642188224,8,37,12,9,13,133.13827606407048
6396,26.574588296562762,21,36,13,4,6,132.87294148281381
3892,33.15390028762047,15,24,17,3,5,132.6156011504819
3607,17.61719740670279,14,29,17,6,9,132.1289805502709
4166,18.728819242525695,15,39,6,5,9,131.10173469767986
4148,18.69642554544775,15,38,7,5,9,130.87497881813425
5159,23.721764462584982,18,31,11,6,5,130.4697045442174
5250,23.71402537176321,18,36,7,6,5,130.42713954469767
5971,23.634231015390345,20,34,6,3,8,129.9882705846469
5906,28.782160550458634,20,30,17,6,3,129.51972247706385
3697,19.915809102748707,14,34,12,7,6,129.4527591678666
4091,21.50166882385795,15,35,7,7,5,129.0100129431477
2234,15.171860747030413,10,37,12,6,11,128.96081634975852
4496,18.420505856209594,16,36,13,7,7,128.94354099346717
4508,21.456972153004017,16,37,6,5,7,128.7418329180241
4509,21.4524450694976,16,37,7,5,7,128.7146704169856
4130,19.779621671526478,15,37,8,6,7,128.5675408649221
5538,28.56957945330051,19,31,10,5,4,128.5631075398523
4090,21.33880932379756,15,35,6,7,5,128.03285594278535
8267,28.380123329227917,26,35,3,3,6,127.71055498152563
7092,21.26916897197489,23,33,6,6,6,127.61501383184932
7081,23.198803234013617,23,32,14,6,5,127.5934177870749
7506,23.171203898390022,24,35,2,3,8,127.44162144114512
8268,28.27326292954404,26,35,4,3,6,127.22968318294818
5917,25.43015897893113,20,31,9,5,5,127.15079489465565
