,maxx,i,j,q,orders_long,orders_short,alpha
53,31.04205662606383,1,5,12,22,15,574.2780475821809
39,36.917290863295804,1,4,12,22,9,572.2180083810849
51,25.023062346440984,1,5,10,20,17,462.9266534091582
54,24.88852916431413,1,5,13,23,14,460.4377895398114
37,29.618683404891534,1,4,10,20,11,459.0895927758188
40,25.297185810320105,1,4,13,23,8,392.1063800599616
50,20.359464751372652,1,5,9,18,19,376.6500979003941
22,28.653473718537903,1,3,9,15,11,372.49515834099276
52,20.078851981910432,1,5,11,20,17,371.458761665343
25,28.319555871271312,1,3,12,20,6,368.15422632652707
38,23.682447409300607,1,4,11,20,11,367.0779348441594
36,21.715725664457313,1,4,9,18,13,336.59374779908836
55,16.44316017053112,1,5,14,24,13,304.1984631548257
9,39.597790107434975,1,2,10,10,5,296.9834258057623
11,37.17282605330443,1,2,12,11,4,278.79619539978324
23,20.570319620762284,1,3,10,17,9,267.41415506990967
48,14.40273673451421,1,5,7,19,18,266.45062958851287
27,19.690856627167353,1,3,14,21,5,255.98113615317558
19,18.862391997146077,1,3,6,16,10,245.21109596289898
20,18.14998226573521,1,3,7,15,11,235.94976945455775
21,18.127235988860782,1,3,8,15,11,235.65406785519016
47,12.734078828841861,1,5,6,19,18,235.58045833357443
45,12.212204192601051,1,5,4,20,17,225.92577756311945
49,11.859614929206137,1,5,8,19,18,219.40287619031352
46,11.704352731560922,1,5,5,20,17,216.53052553387707
24,16.61605908365069,1,3,11,18,8,216.00876808745898
8,28.247717114863203,1,2,9,11,4,211.85787836147404
34,13.414042772570046,1,4,7,19,12,207.9176629748357
10,26.56335217415252,1,2,11,10,5,199.2251413061439
18,13.426786997584403,1,3,5,15,11,174.54823096859724
12,22.36653975063702,1,2,13,12,3,167.74904812977766
33,10.738120028291025,1,4,6,19,12,166.4408604385109
44,8.144322012540496,1,5,3,19,18,150.66995723199918
35,9.45852919591332,1,4,8,19,12,146.60720253665644
32,9.428777350806808,1,4,5,19,12,146.14604893750553
17,11.214618159630053,1,3,4,15,11,145.7900360751907
31,9.316504677664728,1,4,4,19,12,144.40582250380328
6,18.053597599258183,1,2,7,13,2,135.40198199443637
5,16.461849189551415,1,2,6,12,3,123.46386892163562
30,5.966880383766498,1,4,3,19,12,92.48664594838073
4,12.312647727314406,1,2,5,12,3,92.34485795485804
2,9.092721961441473,1,2,3,12,3,68.19541471081105
3,8.084452866205684,1,2,4,13,2,60.63339649654263
16,2.7919480573752042,1,3,3,15,11,36.29532474587766
42,0.8905508441362451,1,5,1,17,20,16.475190616520536
28,1.0140162585528842,1,4,1,15,16,15.717252007569705
14,0.19784939908987653,1,3,1,12,14,2.572042188168395
15,-0.7231455681959889,1,3,2,15,11,-9.400892386547856
1,-1.6376471235538272,1,2,2,12,3,-12.282353426653705
0,-1.682108935648254,1,2,1,9,6,-12.615817017361904
29,-0.8526719039322898,1,4,2,19,12,-13.216414510950491
43,-3.0091984833710206,1,5,2,21,16,-55.67017194236388
