,maxx,i,j,q,orders_long,orders_short,alpha
584,49.975828699989336,5,32,16,9,2,274.8670578499414
614,39.60792114152311,5,36,12,9,3,237.64752684913864
567,46.431424312209764,5,30,18,7,3,232.15712156104883
602,34.78264992839429,5,34,15,9,4,226.0872245345629
601,34.39147307423775,5,34,14,9,4,223.54457498254538
734,31.18273749616974,6,32,15,9,3,187.09642497701844
735,31.01732388440366,6,32,16,9,3,186.10394330642197
717,32.68997441935646,6,30,17,6,4,163.44987209678231
718,32.44185401545744,6,30,18,6,4,162.2092700772872
582,27.115946868166084,5,32,14,9,2,149.13770777491345
421,20.82539933418825,4,30,19,10,4,145.77779533931775
626,22.12388661845904,5,38,10,9,4,143.80526301998376
1383,28.855573207500584,10,38,9,6,3,129.85007943375263
612,21.547325433173143,5,36,10,9,3,129.28395259903886
397,23.415071850813323,4,28,14,8,3,128.7828951794733
1022,28.564144351886405,8,32,3,7,2,128.53864958348882
380,19.681388243754466,4,26,16,9,4,127.92902358440402
1025,28.4172902649289,8,32,6,7,2,127.87780619218006
1031,28.202551779197403,8,32,12,7,2,126.91148300638831
363,19.512699176783144,4,24,18,8,5,126.83254464909044
565,25.036137203995285,5,30,16,7,3,125.18068601997642
1235,24.403212129002082,9,38,10,6,4,122.01606064501041
1033,26.264682332987356,8,32,14,7,2,118.1910704984431
402,21.18795770980235,4,28,19,8,3,116.53376740391293
1218,25.85196971987209,9,36,12,6,3,116.33386373942442
599,17.689807209247352,5,34,12,9,4,114.98374686010779
390,20.821861372185495,4,28,7,8,3,114.52023754702023
373,17.51241085649702,4,26,9,9,4,113.83067056723063
391,20.693364043808803,4,28,8,8,3,113.81350224094841
548,22.61782550548721,5,28,18,6,4,113.08912752743606
374,17.398191007468643,4,26,10,9,4,113.08824154854618
400,20.4904551944187,4,28,17,8,3,112.69750356930285
401,20.4090772566764,4,28,18,8,3,112.2499249117202
356,17.256527813685494,4,24,11,8,5,112.16743078895571
398,20.340455860526134,4,28,15,8,3,111.87250723289374
700,24.780028489516816,6,28,19,6,3,111.51012820282567
357,17.128030485308805,4,24,12,8,5,111.33219815450724
1373,31.797187619400237,10,36,11,4,3,111.29015666790083
1650,27.817404104541854,12,38,10,5,3,111.26961641816742
383,17.08172895760958,4,26,19,9,4,111.03123822446227
553,22.13666212823873,5,30,4,7,3,110.68331064119364
1032,24.57810264160462,8,32,13,7,2,110.6014618872208
394,20.072884347840585,4,28,11,8,3,110.40086391312322
1510,31.49593190845946,11,36,11,4,3,110.23576167960812
381,16.948396214524518,4,26,17,9,4,110.16457539440937
396,19.96046818445862,4,28,13,8,3,109.78257501452241
1201,36.28229590938914,9,34,14,3,3,108.84688772816742
377,16.71055486662003,4,26,13,9,4,108.6186066330302
1521,27.031354788452333,11,38,9,6,2,108.12541915380933
379,16.610629386673885,4,26,15,9,4,107.96909101338025
554,21.427542488334893,5,30,5,7,3,107.13771244167447
557,21.335582943622118,5,30,8,7,3,106.67791471811059
555,21.28068840137739,5,30,6,7,3,106.40344200688695
558,21.110000684085183,5,30,9,7,3,105.55000342042591
561,21.062961238652093,5,30,12,7,3,105.31480619326047
360,16.17051167381041,4,24,15,8,5,105.10832587976766
562,20.934485625646897,5,30,13,7,3,104.67242812823449
362,16.058095510428437,4,24,17,8,5,104.37762081778484
768,19.732266409022696,6,36,11,7,3,98.66133204511348
519,17.81168633857223,5,26,8,6,5,97.96427486214726
866,17.68862522438542,7,32,2,7,4,97.2874387341198
751,19.300387434902515,6,34,13,7,3,96.50193717451258
1361,32.143200728528306,10,34,13,4,2,96.42960218558491
536,19.077761553539325,5,28,6,6,4,95.38880776769662
878,17.295883085307146,7,32,14,7,4,95.12735696918931
716,18.978136808354712,6,30,16,6,4,94.89068404177357
867,17.064496732981247,7,32,3,7,4,93.85473203139686
868,17.01745728754816,7,32,4,7,4,93.59601508151489
520,16.99137125330306,5,26,9,6,5,93.45254189316684
523,16.884085120352886,5,26,12,6,5,92.86246816194087
869,16.870603200590654,7,32,5,7,4,92.7883176032486
704,18.557555425591843,6,30,4,6,4,92.78777712795922
521,16.82004148925508,5,26,10,6,5,92.51022819090294
