,maxx,i,j,orders_long,orders_short,alpha,min
19,6.9370107833478984,14,0,0.4235742511662304,0.3819179998122147,2.7938542154703225,-1.2357012276665915
17,6.66138798176932,13,0,0.3888578731401697,0.36803026825743496,2.5209627843248605,-1.9812340173711012
15,6.496621683602659,12,0,0.4027456046949494,0.3333159734084667,2.3909568043867226,-1.8705497974167393
35,5.794542402423329,22,0,0.3749645867704949,0.4305182905359249,2.3337023434889987,-5.299933076234533
21,6.166000548781798,15,0,0.3888578731401697,0.347201621786154,2.2692716248258824,-3.7303960127420974
49,6.341735858215308,29,0,0.3749645867704949,0.3194164378199598,2.201790521454786,-5.207979553983624
23,5.831974303710777,16,0,0.3958015653252549,0.3402575824164595,2.1463390178204667,-3.7303960127420974
7,5.115868962880571,8,0,0.36803443429917443,0.4513656843512565,2.0959718175921984,-1.515233802336404
47,6.034441682413314,28,0,0.3749645867704949,0.3194206038616994,2.095113469000714,-5.207979553983624
37,5.336977671201712,23,0,0.3749645867704949,0.4027414386532098,2.0752998462226717,-6.563083320692184
45,5.839212865991758,27,0,0.3749645867704949,0.3194164378199598,2.027319306344561,-5.207979553983624
39,5.145273465322276,24,0,0.3749645867704949,0.4027414386532098,2.00075508821692,-6.563083320692184
13,5.9360440613757985,11,0,0.34719745574441446,0.32498718110416497,1.9950588108565288,-1.8705497974167393
33,4.944680058238721,21,0,0.37496875281223435,0.4305182905359249,1.9914378602066558,-5.004561758788611
11,5.716986944119576,10,0,0.33330972418963467,0.354153299147836,1.9651085644926456,-0.8296641245476846
9,5.427025319975292,9,0,0.38191938858537017,0.3124873269371857,1.8842814137508954,-1.240122171181957
41,5.08014674007174,25,0,0.3749645867704949,0.3610810212574546,1.8696098480836547,-5.207979553983624
43,5.018239011057312,26,0,0.4166291702079896,0.2777560204242046,1.7422954261654728,-5.207979553983624
27,3.8269103665992534,18,0,0.40274560469494936,0.4444101881324442,1.620994642847881,-4.0436333520195005
31,4.288865765014912,20,0,0.3333083354164792,0.4166291702079896,1.6081906468867313,-8.850936229803873
25,3.6819999480676433,17,0,0.3749701415853898,0.4235784172079699,1.470127876003321,-4.0436333520195005
77,5.093627915649277,43,0,0.2916395859372448,0.22220370543193005,1.3086632665935671,-5.207979553983624
81,5.130658202199535,45,0,0.2916395859372448,0.21525966606223554,1.3003634024799715,-5.207979553983624
51,4.5384063829992884,30,0,0.3749645867704949,0.19443101959095463,1.2920743271812762,-5.207979553983624
57,4.310209285869853,33,0,0.3749645867704949,0.19443101959095463,1.2271071149363075,-5.207979553983624
59,4.0714069968246696,34,0,0.3749645867704949,0.18054328803617484,1.130849324139539,-5.207979553983624
34,2.8660866874009905,21,1,0.35780243841792797,0.39025896782427477,1.0720044188946207,-7.9857810414618955
32,2.7975299014102446,20,1,0.347713998051366,0.3961528385919429,1.0404948590885532,-8.258792073557014
53,3.932261297141464,31,0,0.3333041693747396,0.19443101959095463,1.0375963293547183,-5.207979553983624
36,2.8125658212462064,22,1,0.3293982885850479,0.3944568159870228,1.0179450633270024,-8.250504043447652
5,3.0310613123495678,7,0,0.305542245978945,0.3569305816232087,1.0039978791138564,-2.520544740722528
61,3.7073154365265037,35,0,0.36107685521571503,0.18054328803617484,1.0039783589057139,-5.207979553983624
98,2.7348251155587406,53,1,0.3499979444638886,0.3224049234012022,0.9194521254055879,-8.904622840911447
29,2.5457829513277326,19,0,0.3194206038616994,0.40274977073668894,0.9192445138032695,-8.850936229803873
